owner,type_detailed,type,return_abnormal_1m,Senator,Party,Occupation,Age,In_Office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
Joint,Sale (Partial),Sale,-0.079250296,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.079250296,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,-0.042614409,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Full),Sale,-0.062748587,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,-0.047517838,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,-0.042574789,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Full),Sale,-0.063267133,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.186336614,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.196154017,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.112104891,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.019458241,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,-0.0871462,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Purchase,Purchase,0.053008777,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.119966835,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.055149996,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,0.098848771,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Purchase,Purchase,0.055149996,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Sale (Partial),Sale,0.005969563,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Joint,Sale (Partial),Sale,-0.067160017,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Self,Sale (Full),Sale,0.025849864,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Spouse,Sale (Full),Sale,0.062551805,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Self,Sale (Full),Sale,-0.035814688,Jim Inhofe,Republican,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Joint,Sale (Full),Sale,-0.055413205,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Joint,Sale (Partial),Sale,0.054989305,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,-0.0593428,Pat Roberts,Republican,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Spouse,Sale (Partial),Sale,0.048900228,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
Joint,Purchase,Purchase,0.076456234,David Perdue,Republican,Corporate executive,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Spouse,Purchase,Purchase,-0.106749943,Kelly Loeffler,Republican,Corporate executive,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
