PERMNO,date,TICKER,COMNAM,PRC,SHROUT,Market Cap
10026,12/31/2020,JJSF,J & J SNACK FOODS CORP,155.37,18954,2944882.98
10028,12/31/2020,ELA,ENVELA CORP,5.2,26925,140010
10032,12/31/2020,PLXS,PLEXUS CORP,78.21,28823,2254246.83
10044,12/31/2020,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,4.05,6071,24587.55
10051,12/31/2020,HNGR,HANGER INC,21.99,38109,838016.91
10065,12/31/2020,ADX,ADAMS EXPRESS CO,17.29,108731,1879958.99
10104,12/31/2020,ORCL,ORACLE CORP,64.69,2944034,190449559.5
10107,12/31/2020,MSFT,MICROSOFT CORP,222.42,7560496,1681605520
10113,12/31/2020,AADR,ADVISORSHARES TRUST,60.89,1300,79157
10138,12/31/2020,TROW,T ROWE PRICE GROUP INC,151.39,226433,34279691.87
10145,12/31/2020,HON,HONEYWELL INTERNATIONAL INC,212.7,701686,149248612.2
10158,12/31/2020,AMRC,AMERESCO INC,52.24,29866,1560199.84
10200,12/31/2020,RGEN,REPLIGEN CORP,191.63,52619,10083378.97
10201,12/31/2020,AT,ATLANTIC POWER CORP,2.1,89223,187368.3
10207,12/31/2020,FUND,SPROTT FOCUS TRUST INC,6.9,29203,201500.7
10220,12/31/2020,BWXT,B W X TECHNOLOGIES INC,60.28,95310,5745286.8
10232,12/31/2020,ESBK,ELMIRA SAVINGS BANK NY,11.5001,3523,40514.8523
10239,12/31/2020,PTVCB,PROTECTIVE INSURANCE CORP,13.71,11663,159899.73
10252,12/31/2020,INDB,INDEPENDENT BANK CORP MA,73.04,32965,2407763.6
10253,12/31/2020,DSS,DOCUMENT SECURITY SYSTEMS INC,6.24,5836,36416.64
10257,12/31/2020,DLHC,D L H HOLDINGS CORP,9.32,12532,116798.24
10258,12/31/2020,CLDX,CELLDEX THERAPEUTICS INC,17.52,39567,693213.84
10294,12/31/2020,HVT,HAVERTY FURNITURE COS INC,-28.465,1512,-43039.08
10308,12/31/2020,TMP,TOMPKINS FINANCIAL CORP,70.6,14931,1054128.6
10318,12/31/2020,BCPC,BALCHEM CORP,115.22,32351,3727482.22
10333,12/31/2020,XOMA,XOMA CORP,44.13,11022,486400.86
10355,12/31/2020,DJCO,DAILY JOURNAL CORP,404,1381,557924
10382,12/31/2020,ASTE,ASTEC INDUSTRIES INC,57.88,22609,1308608.92
10397,12/31/2020,WERN,WERNER ENTERPRISES INC,39.22,69098,2710023.56
10421,12/31/2020,SKYW,SKYWEST INC,40.31,50140,2021143.4
10443,12/31/2020,FRPH,F R P HOLDINGS INC,45.55,9418,428989.9
10463,12/31/2020,REFR,RESEARCH FRONTIERS INC,2.81,31576,88728.56
10501,12/31/2020,AMWD,AMERICAN WOODMARK CORP,93.85,16993,1594793.05
10514,12/31/2020,KSPN,KASPIEN HOLDINGS INC,14.63,1905,27870.15
10516,12/31/2020,ADM,ARCHER DANIELS MIDLAND CO,50.41,556389,28047569.49
10517,12/31/2020,PRG,PROG HOLDINGS INC,53.87,67557,3639295.59
10530,12/31/2020,VIVO,MERIDIAN BIOSCIENCE INC,18.69,43076,805090.44
10547,12/31/2020,CLFD,CLEARFIELD INC,24.72,13650,337428
10550,12/31/2020,PDEX,PRO DEX INC COLO,30.97,3858,119482.26
10606,12/31/2020,WTS,WATTS WATER TECHNOLOGIES INC,121.7,27434,3338717.8
10629,12/31/2020,FNB,F N B CORP PA,9.5,322635,3065032.5
10645,12/31/2020,LAKE,LAKELAND INDUSTRIES INC,27.25,8020,218545
10649,12/31/2020,PTSI,P A M TRANSPORTATION SVCS INC,49,5735,281015
10661,12/31/2020,CYAN,CYANOTECH CORP,3.04,6097,18534.88
10693,12/31/2020,EHC,ENCOMPASS HEALTH CORP,82.69,99432,8222032.08
10696,12/31/2020,FISV,FISERV INC,113.86,670438,76336070.68
10777,12/31/2020,FCNCA,FIRST CITIZENS BANCSHARES INC NC,574.27002,8811,5059893.146
10779,12/31/2020,BKTI,B K TECHNOLOGIES CORP,3.03,12512,37911.36
10781,12/31/2020,BKSC,BANK SOUTH CAROLINA CORP,16.03,5520,88485.6
10812,12/31/2020,HTLD,HEARTLAND EXPRESS INC,18.1,80798,1462443.8
10860,12/31/2020,OSUR,ORASURE TECHNOLOGIES INC,10.585,71733,759293.805
10866,12/31/2020,CAL,CALERES INC,15.65,37907,593244.55
10874,12/31/2020,BC,BRUNSWICK CORP,76.24,78343,5972870.32
10886,12/31/2020,DXYN,DIXIE GROUP INC,2.55,14933,38079.15
10890,12/31/2020,UIS,UNISYS CORP,19.68,63038,1240587.84
10892,12/31/2020,WSFS,WSFS FINANCIAL CORP,44.88,50402,2262041.76
10901,12/31/2020,ITIC,INVESTORS TITLE CO,153,1892,289476
10909,12/31/2020,CERN,CERNER CORP,78.48,306590,24061183.2
10932,12/31/2020,WBS,WEBSTER FINANCIAL CORP,42.15,90201,3801972.15
10933,12/31/2020,MKL,MARKEL CORP,1033.30005,13778,14236808.09
10952,12/31/2020,CDR,CEDAR REALTY TRUST INC,10.13,13532,137079.16
10966,12/31/2020,AXGN,AXOGEN INC,17.9,40126,718255.4
11006,12/31/2020,FLIC,FIRST LONG ISLAND CORP,17.85,23887,426382.95
11018,12/31/2020,FBP,FIRST BANCORP P R,9.22,218229,2012071.38
11043,12/31/2020,PMD,PSYCHEMEDICS CORP,5.09,5526,28127.34
11144,12/31/2020,AVD,AMERICAN VANGUARD CORP,15.52,30288,470069.76
11154,12/31/2020,PLAB,PHOTRONICS INC,11.16,65664,732810.24
11174,12/31/2020,CRMT,AMERICAS CAR MART INC,109.84,6625,727690
11203,12/31/2020,ARGO,ARGO GROUP INTL HLDGS LTD,43.7,34685,1515734.5
11208,12/31/2020,OFG,O F G BANCORP,18.54,51347,951973.38
11264,12/31/2020,RETL,DIREXION SHARES E T F TRUST,454.22,105,47693.1
11267,12/31/2020,CATO,CATO CORP NEW,9.59,21170,203020.3
11275,12/31/2020,KRMD,REPRO MED SYSTEMS INC,6.02,43943,264536.86
11285,12/31/2020,FBNC,FIRST BANCORP NC,33.83,28630,968552.9
11292,12/31/2020,ICCC,IMMUCELL CORP,5.95,7213,42917.35
11293,12/31/2020,WSBC,WESBANCO INC,29.96,67219,2013881.24
11308,12/31/2020,KO,COCA COLA CO,54.84,4297435,235671335.4
11343,12/31/2020,SAFM,SANDERSON FARMS INC,132.2,22251,2941582.2
11348,12/31/2020,CNBKA,CENTURY BANCORP INC,77.36,3655,282750.8
11368,12/31/2020,AIRT,AIR T INC,24.9,2882,71761.8
11369,12/31/2020,UBSI,UNITED BANKSHARES INC,32.4,129762,4204288.8
11370,12/31/2020,ENV,ENVESTNET INC,82.29,53950,4439545.5
11394,12/31/2020,THMO,THERMOGENESIS HOLDINGS INC,2.09,7796,16293.64
11397,12/31/2020,WASH,WASHINGTON TRUST BANCORP INC,44.8,17265,773472
11403,12/31/2020,CDNS,CADENCE DESIGN SYSTEMS INC,136.42999,278931,38054553.54
11404,12/31/2020,ED,CONSOLIDATED EDISON INC,72.27,342116,24724723.32
11407,12/31/2020,LIT,GLOBAL X FUNDS,61.89,28175,1743750.75
11441,12/31/2020,NHLD,NATIONAL HOLDINGS CORP,3.03,13640,41329.2
11442,12/31/2020,CHCO,CITY HOLDING CO,69.55,15788,1098055.4
11481,12/31/2020,EBIX,EBIX INC,37.97,30963,1175665.11
11499,12/31/2020,CECE,C E C O ENVIRONMENTAL CORP,6.96,35505,247114.8
11511,12/31/2020,CPSH,C P S TECHNOLOGIES CORP,2.78,13296,36962.88
11533,12/31/2020,FICO,FAIR ISAAC CORP,511.04001,29098,14870242.21
11547,12/31/2020,CNMD,CONMED CORP,112,28602,3203424
11565,12/31/2020,HBNC,HORIZON BANCORP INC,15.86,43881,695952.66
11581,12/31/2020,EPAC,ENERPAC TOOL GROUP CORP,22.61,59826,1352665.86
11587,12/31/2020,ATRI,ATRION CORP,642.23999,1829,1174656.942
11593,12/31/2020,SNFCA,SECURITY NATIONAL FINANCIAL CORP,8.35,16573,138384.55
11600,12/31/2020,XRAY,DENTSPLY SIRONA INC,52.36,218555,11443539.8
11618,12/31/2020,FAST,FASTENAL COMPANY,48.83,574053,28031007.99
11628,12/31/2020,CPF,CENTRAL PACIFIC FINANCIAL CORP,19.01,28180,535701.8
11636,12/31/2020,HRTX,HERON THERAPEUTICS INC,21.165,90855,1922946.075
11644,12/31/2020,CRK,COMSTOCK RESOURCES INC,4.37,232421,1015679.77
11654,12/31/2020,NAII,NATURAL ALTERNATIVES INTL INC,10.5889,6476,68573.7164
11664,12/31/2020,GDOT,GREEN DOT CORP,55.8,53480,2984184
11674,12/31/2020,DTE,D T E ENERGY CO,121.41,193560,23500119.6
11691,12/31/2020,MATX,MATSON INC,56.97,43079,2454210.63
11701,12/31/2020,IMKTA,INGLES MARKETS INC,42.66,14213,606326.58
11731,12/31/2020,AIN,ALBANY INTERNATIONAL CORP NEW,73.42,30700,2253994
11748,12/31/2020,DGICB,DONEGAL GROUP INC,11.81,5577,65864.37
11752,12/31/2020,IIVI,II VI INC,75.96,103726,7879026.96
11762,12/31/2020,ETN,EATON CORP PLC,120.14,398600,47887804
11775,12/31/2020,JOUT,JOHNSON OUTDOORS INC,112.63,8873,999365.99
11786,12/31/2020,SIVB,S V B FINANCIAL GROUP,387.82999,51797,20088429.99
11790,12/31/2020,ALCO,ALICO INC,31.02,7506,232836.12
11803,12/31/2020,MITK,MITEK SYSTEMS INC,17.78,42522,756041.16
11809,12/31/2020,CLH,CLEAN HARBORS INC,76.1,55246,4204220.6
11825,12/31/2020,CYBE,CYBEROPTICS CORP,22.69,7255,164615.95
11844,12/31/2020,CTBI,COMMUNITY TRUST BANCORP INC,37.05,17810,659860.5
11845,12/31/2020,WPP,W P P PLC NEW,54.08,13929,753280.32
11850,12/31/2020,XOM,EXXON MOBIL CORP,41.22,4228234,174287805.5
11884,12/31/2020,IPAR,INTERMEDIATE PARFUMS INC,60.49,31538,1907733.62
11891,12/31/2020,MGM,M G M RESORTS INTERNATIONAL,31.51,493939,15564017.89
11896,12/31/2020,MXIM,MAXIM INTEGRATED PRODUCTS INC,88.65,267301,23696233.65
11955,12/31/2020,WM,WASTE MANAGEMENT INC DEL,117.93,422606,49837925.58
11990,12/31/2020,KKR,K K R & CO INC,40.49,569189,23046462.61
11992,12/31/2020,TCF,T C F FINANCIAL CORP NEW,37.02,152487,5645068.74
11995,12/31/2020,COKE,COCA COLA CONSOLIDATED INC,266.26999,7141,1901433.999
11996,12/31/2020,EMLC,VANECK VECTORS E T F TRUST,33.27,108423,3607233.21
12008,12/31/2020,DY,DYCOM INDUSTRIES INC,75.52,31913,2410069.76
12009,12/31/2020,QUAD,QUAD GRAPHICS INC,3.82,40100,153182
12015,12/31/2020,NTG,TORTOISE MIDSTREAM ENERGY FD INC,20.59,6321,130149.39
12017,12/31/2020,XSPA,XPRESSPA GROUP INC,1.19,69515,82722.85
12034,12/31/2020,PHYS,SPROTT PHYSICAL GOLD TRUST,15.09,313733,4734230.97
12035,12/31/2020,AMLP,ALPS E T F TRUST,25.66,162607,4172495.62
12036,12/31/2020,GATX,G A T X CORP,83.18,35000,2911300
12039,12/31/2020,BBN,BLACKROCK TAXABLE MUNI BOND TR,26.96,57140,1540494.4
12049,12/31/2020,GORO,GOLD RESOURCE CORP,2.91,71866,209130.06
12052,12/31/2020,GD,GENERAL DYNAMICS CORP,148.82001,286972,42707175.91
12054,12/31/2020,GLIN,VANECK VECTORS E T F TRUST,32.633,2075,67713.475
12059,12/31/2020,SCHR,SCHWAB STRATEGIC TRUST,58.22,68750,4002625
12060,12/31/2020,GE,GENERAL ELECTRIC CO,10.8,8759873,94606628.4
12062,12/31/2020,LH,LABORATORY CORP AMERICA HLDGS,203.55,97400,19825770
12064,12/31/2020,SCHO,SCHWAB STRATEGIC TRUST,51.39,152100,7816419
12065,12/31/2020,SCHP,SCHWAB STRATEGIC TRUST,62.08,226450,14058016
12066,12/31/2020,USCI,UNITED STATES COMMODITY IND FUND,32.6682,3400,111071.88
12068,12/31/2020,ONB,OLD NATIONAL BANCORP,16.56,165333,2737914.48
12070,12/31/2020,WSR,WHITESTONE REIT,7.97,42354,337561.38
12073,12/31/2020,PBCT,PEOPLES UNITED FINANCIAL INC,12.93,424867,5493530.31
12075,12/31/2020,ELD,WISDOMTREE TRUST,34.79,3700,128723
12076,12/31/2020,SIG,SIGNET JEWELERS LTD,27.27,52339,1427284.53
12078,12/31/2020,ELMD,ELECTROMED INC,9.81,8606,84424.86
12082,12/31/2020,MMYT,MAKEMYTRIP LIMITED,29.53,63587,1877724.11
12084,12/31/2020,NXPI,N X P SEMICONDUCTORS N V,159.00999,279750,44483044.7
12089,12/31/2020,RP,REALPAGE INC,87.24,101852,8885568.48
12093,12/31/2020,COR,CORESITE REALTY CORP,125.28,42767,5357849.76
12098,12/31/2020,ECON,COLUMBIA E T F TRUST II,28.19,6500,183235
12103,12/31/2020,FSD,FIRST TRUST HIGH INC LNG SHRT FD,14.77,34378,507763.06
12105,12/31/2020,ENZL,ISHARES TRUST,68.07,3100,211017
12109,12/31/2020,EWZS,ISHARES TRUST,16.62,7000,116340
12146,12/31/2020,CSBR,CHAMPIONS ONCOLOGY INC,10.79,13369,144251.51
12166,12/31/2020,FRBK,REPUBLIC FIRST BANCORP INC,2.85,58860,167751
12189,12/31/2020,HIFS,HINGHAM INSTITUTION FOR SVGS MA,216,2137,461592
12209,12/31/2020,LWAY,LIFEWAY FOODS INC,5.41,15604,84417.64
12211,12/31/2020,LNN,LINDSAY CORP,128.46001,10865,1395718.009
12219,12/31/2020,ECNS,ISHARES TRUST,49.1477,1100,54062.47
12226,12/31/2020,MGPI,M G P INGREDIENTS INC,47.06,16916,796066.96
12266,12/31/2020,CDMO,AVID BIOSERVICES INC,11.54,56726,654618.04
12287,12/31/2020,EPHE,ISHARES TRUST,32.7,4800,156960
12289,12/31/2020,CORP,PIMCO E T F TRUST,117.075,7080,828891
