PERMNO,date,TICKER,COMNAM,PRC,SHROUT,Market Cap
10026,1/2/2020,JJSF,J & J SNACK FOODS CORP,181.67999,18900,3433751.811
10028,1/2/2020,ELA,ENVELA CORP,1.38,26924,37155.12
10032,1/2/2020,PLXS,PLEXUS CORP,77.23,29247,2258745.81
10044,1/2/2020,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,9.05,6000,54300
10051,1/2/2020,HNGR,HANGER INC,27.28,37338,1018580.64
10065,1/2/2020,ADX,ADAMS EXPRESS CO,15.84,105413,1669741.92
10104,1/2/2020,ORCL,ORACLE CORP,53.95,3207649,173052663.6
10107,1/2/2020,MSFT,MICROSOFT CORP,160.62,7611000,1222478820
10113,1/2/2020,AADR,ADVISORSHARES TRUST,54.86,2000,109720
10138,1/2/2020,TROW,T ROWE PRICE GROUP INC,125.16,235214,29439384.24
10145,1/2/2020,HON,HONEYWELL INTERNATIONAL INC,180.78999,714533,129180413.9
10158,1/2/2020,AMRC,AMERESCO INC,17.52,29033,508658.16
10180,1/2/2020,AKRX,AKORN INC,1.33,132990,176876.7
10182,1/2/2020,TECD,TECH DATA CORP,143.94,35423,5098786.62
10200,1/2/2020,RGEN,REPLIGEN CORP,93.78,52078,4883874.84
10201,1/2/2020,AT,ATLANTIC POWER CORP,2.34,109329,255829.86
10207,1/2/2020,FUND,SPROTT FOCUS TRUST INC,7.38,27771,204949.98
10220,1/2/2020,BWXT,B W X TECHNOLOGIES INC,63.63,95250,6060757.5
10232,1/2/2020,ESBK,ELMIRA SAVINGS BANK NY,15.8,3512,55489.6
10239,1/2/2020,PTVCB,PROTECTIVE INSURANCE CORP,16.08,11676,187750.08
10252,1/2/2020,INDB,INDEPENDENT BANK CORP MA,83.43,34377,2868073.11
10253,1/2/2020,DSS,DOCUMENT SECURITY SYSTEMS INC,0.31619,36181,11440.07039
10257,1/2/2020,DLHC,D L H HOLDINGS CORP,4.5,12097,54436.5
10258,1/2/2020,CLDX,CELLDEX THERAPEUTICS INC,2.25,16972,38187
10294,1/2/2020,HVT,HAVERTY FURNITURE COS INC,-19.55,1535,-30009.25
10302,1/2/2020,CY,CYPRESS SEMICONDUCTOR CORP,23.49,372704,8754816.96
10308,1/2/2020,TMP,TOMPKINS FINANCIAL CORP,91.39,14940,1365366.6
10318,1/2/2020,BCPC,BALCHEM CORP,102.61,32202,3304247.22
10333,1/2/2020,XOMA,XOMA CORP,27.68,9759,270129.12
10355,1/2/2020,DJCO,DAILY JOURNAL CORP,292,1381,403252
10363,1/2/2020,AMAG,A M A G PHARMACEUTICALS INC,12.27,33999,417167.73
10382,1/2/2020,ASTE,ASTEC INDUSTRIES INC,42.26,22551,953005.26
10397,1/2/2020,WERN,WERNER ENTERPRISES INC,36.33,69245,2515670.85
10421,1/2/2020,SKYW,SKYWEST INC,65.04,50323,3273007.92
10443,1/2/2020,FRPH,F R P HOLDINGS INC,50.97,9817,500372.49
10463,1/2/2020,REFR,RESEARCH FRONTIERS INC,3.06,31254,95637.24
10501,1/2/2020,AMWD,AMERICAN WOODMARK CORP,104.65,16922,1770887.3
10514,1/2/2020,TWMC,TRANS WORLD ENTERTAINMENT CORP,1.97,1816,3577.52
10516,1/2/2020,ADM,ARCHER DANIELS MIDLAND CO,46.11,556686,25668791.46
10517,1/2/2020,AAN,AARONS INC,57.67,67152,3872655.84
10530,1/2/2020,VIVO,MERIDIAN BIOSCIENCE INC,9.61,42828,411577.08
10547,1/2/2020,CLFD,CLEARFIELD INC,13.93,13657,190242.01
10550,1/2/2020,PDEX,PRO DEX INC COLO,17.59,3884,68319.56
10606,1/2/2020,WTS,WATTS WATER TECHNOLOGIES INC,100.09,27602,2762684.18
10629,1/2/2020,FNB,F N B CORP PA,12.75,324925,4142793.75
10645,1/2/2020,LAKE,LAKELAND INDUSTRIES INC,10.59,8007,84794.13
10649,1/2/2020,PTSI,P A M TRANSPORTATION SVCS INC,57.39,5749,329935.11
10661,1/2/2020,CYAN,CYANOTECH CORP,-2.345,5926,-13896.47
10693,1/2/2020,EHC,ENCOMPASS HEALTH CORP,69.16,98600,6819176
10696,1/2/2020,FISV,FISERV INC,115.52,679900,78542048
10777,1/2/2020,FCNCA,FIRST CITIZENS BANCSHARES INC NC,537.47998,9624,5172707.328
10779,1/2/2020,BKTI,B K TECHNOLOGIES CORP,3.11,12659,39369.49
10781,1/2/2020,BKSC,BANK SOUTH CAROLINA CORP,18.92,5530,104627.6
10812,1/2/2020,HTLD,HEARTLAND EXPRESS INC,20.84,82028,1709463.52
10860,1/2/2020,OSUR,ORASURE TECHNOLOGIES INC,7.89,61731,487057.59
10866,1/2/2020,CAL,CALERES INC,23.62,40535,957436.7
10874,1/2/2020,BC,BRUNSWICK CORP,60,81574,4894440
10886,1/2/2020,DXYN,DIXIE GROUP INC,1.31,15025,19682.75
10890,1/2/2020,UIS,UNISYS CORP,11.89,62395,741876.55
10892,1/2/2020,WSFS,WSFS FINANCIAL CORP,44,51567,2268948
10901,1/2/2020,ITIC,INVESTORS TITLE CO,158.83,1887,299712.21
10909,1/2/2020,CERN,CERNER CORP,73.62,310911,22889267.82
10932,1/2/2020,WBS,WEBSTER FINANCIAL CORP,53.36,92032,4910827.52
10933,1/2/2020,MKL,MARKEL CORP,1155.21997,13812,15955898.23
10952,1/2/2020,CDR,CEDAR REALTY TRUST INC,2.94,89019,261715.86
10966,1/2/2020,AXGN,AXOGEN INC,17.34,39590,686490.6
11006,1/2/2020,FLIC,FIRST LONG ISLAND CORP,24.81,23935,593827.35
11018,1/2/2020,FBP,FIRST BANCORP P R,10.54,217359,2290963.86
11043,1/2/2020,PMD,PSYCHEMEDICS CORP,9,5517,49653
11144,1/2/2020,AVD,AMERICAN VANGUARD CORP,19.03,30187,574458.61
11154,1/2/2020,PLAB,PHOTRONICS INC,15.58,65416,1019181.28
11174,1/2/2020,CRMT,AMERICAS CAR MART INC,110.85,6605,732164.25
11182,1/2/2020,GASL,DIREXION SHARES E T F TRUST,9.44,4221,39846.24
11203,1/2/2020,ARGO,ARGO GROUP INTL HLDGS LTD,66.96,34333,2298937.68
11208,1/2/2020,OFG,O F G BANCORP,23.5,51347,1206654.5
11264,1/2/2020,RETL,DIREXION SHARES E T F TRUST,27.53,700,19271
11267,1/2/2020,CATO,CATO CORP NEW,17.19,22873,393186.87
11275,1/2/2020,KRMD,REPRO MED SYSTEMS INC,6.59,39503,260324.77
11285,1/2/2020,FBNC,FIRST BANCORP NC,39.86,29601,1179895.86
11292,1/2/2020,ICCC,IMMUCELL CORP,-5.08,7213,-36642.04
11293,1/2/2020,WSBC,WESBANCO INC,37.49,67824,2542721.76
11308,1/2/2020,KO,COCA COLA CO,54.99,4284491,235604160.1
11343,1/2/2020,SAFM,SANDERSON FARMS INC,174.21001,22229,3872514.312
11348,1/2/2020,CNBKA,CENTURY BANCORP INC,91.36,3651,333555.36
11361,1/2/2020,ECT,E C A MARCELLUS TRUST I,0.7689,17605,13536.4845
11368,1/2/2020,AIRT,AIR T INC,-21.26,2913,-61930.38
11369,1/2/2020,UBSI,UNITED BANKSHARES INC,38.7,101554,3930139.8
11370,1/2/2020,ENV,ENVESTNET INC,70.91,52473,3720860.43
11379,1/2/2020,DXLG,DESTINATION X L GROUP INC,1.29,50349,64950.21
11394,1/2/2020,THMO,THERMOGENESIS HOLDINGS INC,4.31,2844,12257.64
11397,1/2/2020,WASH,WASHINGTON TRUST BANCORP INC,53.465,17363,928312.795
11403,1/2/2020,CDNS,CADENCE DESIGN SYSTEMS INC,71.44,279855,19992841.2
11404,1/2/2020,ED,CONSOLIDATED EDISON INC,88.86,332430,29539729.8
11407,1/2/2020,LIT,GLOBAL X FUNDS,27.7,18075,500677.5
11441,1/2/2020,NHLD,NATIONAL HOLDINGS CORP,2.52,13279,33463.08
11442,1/2/2020,CHCO,CITY HOLDING CO,82.26,16303,1341084.78
11481,1/2/2020,EBIX,EBIX INC,33.44,30492,1019652.48
11499,1/2/2020,CECE,C E C O ENVIRONMENTAL CORP,7.68,35275,270912
11511,1/2/2020,CPSH,C P S TECHNOLOGIES CORP,1.047,13207,13827.729
11533,1/2/2020,FICO,FAIR ISAAC CORP,382.92001,28962,11090129.33
11547,1/2/2020,CNMD,CONMED CORP,111.23,28379,3156596.17
11565,1/2/2020,HBNC,HORIZON BANCORP INC,18.79,44976,845099.04
11581,1/2/2020,EPAC,ACTUANT CORP,26.16,59953,1568370.48
11587,1/2/2020,ATRI,ATRION CORP,739,1855,1370845
11593,1/2/2020,SNFCA,SECURITY NATIONAL FINANCIAL CORP,5.89,15617,91984.13
11600,1/2/2020,XRAY,DENTSPLY SIRONA INC,56.93,221300,12598609
11618,1/2/2020,FAST,FASTENAL COMPANY,37.23,574129,21374822.67
11628,1/2/2020,CPF,CENTRAL PACIFIC FINANCIAL CORP,29.54,28377,838256.58
11636,1/2/2020,HRTX,HERON THERAPEUTICS INC,23.175,90304,2092795.2
11644,1/2/2020,CRK,COMSTOCK RESOURCES INC,7.71,190017,1465031.07
11654,1/2/2020,NAII,NATURAL ALTERNATIVES INTL INC,7.92,7055,55875.6
