transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,ret1d,ret5d,ret1m
2020-01-02,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.007847783329391622,0.023935596954828275,0.09319207153698539
2020-01-02,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.007847783329391622,0.023935596954828275,0.09319207153698539
2020-01-03,Joint,RF,Regions Financial Corporation,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.011329787052549278,-0.025044726584936172,-0.01192610360644697
2020-01-06,Spouse,MA,Mastercard Incorporated,Stock,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,-0.003386181635455676,0.04640965361643379,0.09318452937252197
2020-01-06,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.012106619196594393,0.06293764583903516,0.07249218651639522
2020-01-06,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.0020915561982559616,-0.006085489376615016,0.07743524300420201
2020-01-06,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,-0.015126661630534555,0.009201164217072844,0.09266601220575943
2020-01-06,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/,0.013148726667995048,0.06112747065553781,0.21625401519710552
2020-01-07,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/,-0.050110124177219606,-0.04818281978811201,-0.169603521452946
2020-01-10,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.029995520440425194,0.032274809386856784,0.15487015305625595
