Name,Committee,Committee #
Alex Padilla,Budget,117
Alex Padilla,Environment and Public Works,117
Alex Padilla,Homeland Security and Governmental Affairs,117
Alex Padilla,Judiciary,117
Alex Padilla,Rules and Administration,117
Amy Klobuchar,"Agriculture, Nutrition, and Forestry",117
Amy Klobuchar,"Commerce, Science and Transportation",117
Amy Klobuchar,Judiciary,117
Amy Klobuchar,Rules and Administration,117
Amy Klobuchar,"Agriculture, Nutrition, and Forestry",116
Amy Klobuchar,"Commerce, Science, and Transportation",116
Amy Klobuchar,Judiciary,116
Amy Klobuchar,Rules and Administration,116
Angus King,Armed Services,117
Angus King,Energy and Natural Resources,117
Angus King,Rules and Administration,117
Angus King,Armed Services,116
Angus King,Energy and Natural Resources,116
Angus King,Rules and Administration,116
Ben Cardin,Environment and Public Works,117
Ben Cardin,Finance,117
Ben Cardin,Foreign Relations,117
Ben Cardin,Small Business and Entrepreneurship,117
Ben Cardin,Environment and Public Works,116
Ben Cardin,Finance,116
Ben Cardin,Foreign Relations,116
Ben Cardin,Small Business and Entrepreneurship,116
Ben Ray Luján,"Agriculture, Nutrition, and Forestry",117
Ben Ray Luján,Budget,117
Ben Ray Luján,"Commerce, Science and Transportation",117
Ben Ray Luján,"Health, Education, Labor and Pensions",117
Ben Sasse,Budget,117
Ben Sasse,Finance,117
Ben Sasse,Judiciary,117
Ben Sasse,"Banking, Housing, and Urban Affairs",116
Ben Sasse,Finance,116
Ben Sasse,Judiciary,116
Bernie Sanders,Budget,117
Bernie Sanders,Energy and Natural Resources,117
Bernie Sanders,Environment and Public Works,117
Bernie Sanders,"Health, Education, Labor and Pensions",117
Bernie Sanders,Veterans' Affairs,117
Bernie Sanders,Budget,116
Bernie Sanders,Energy and Natural Resources,116
Bernie Sanders,Environment and Public Works,116
Bernie Sanders,"Health, Education, Labor and Pensions",116
Bernie Sanders,Veterans' Affairs,116
Bill Cassidy,Energy and Natural Resources,117
Bill Cassidy,Finance,117
Bill Cassidy,"Health, Education, Labor and Pensions",117
Bill Cassidy,Veterans' Affairs,117
Bill Cassidy,Energy and Natural Resources,116
Bill Cassidy,Finance,116
Bill Cassidy,"Health, Education, Labor and Pensions",116
Bill Cassidy,Veterans' Affairs,116
Bill Hagerty,Appropriations,117
Bill Hagerty,"Banking, Housing, and Urban Affairs",117
Bill Hagerty,Foreign Relations,117
Bill Hagerty,Rules and Administration,117
Bob Casey Jr.,"Agriculture, Nutrition, and Forestry",116
Bob Casey Jr.,Finance,117
Bob Casey Jr.,"Health, Education, Labor and Pensions",117
Bob Casey Jr.,Finance,116
Bob Casey Jr.,"Health, Education, Labor and Pensions",116
Bob Menendez,"Banking, Housing, and Urban Affairs",117
Bob Menendez,Finance,117
Bob Menendez,Foreign Relations,117
Bob Menendez,"Banking, Housing, and Urban Affairs",116
Bob Menendez,Finance,116
Bob Menendez,Foreign Relations,116
Brian Schatz,Appropriations,117
Brian Schatz,"Commerce, Science and Transportation",117
Brian Schatz,Foreign Relations,117
Brian Schatz,Appropriations,116
Brian Schatz,"Banking, Housing, and Urban Affairs",116
Brian Schatz,"Commerce, Science, and Transportation",116
Catherine Cortez Masto,"Banking, Housing, and Urban Affairs",117
Catherine Cortez Masto,Energy and Natural Resources,117
Catherine Cortez Masto,Finance,117
Catherine Cortez Masto,"Banking, Housing, and Urban Affairs",116
Catherine Cortez Masto,Energy and Natural Resources,116
Catherine Cortez Masto,Finance,116
Catherine Cortez Masto,Rules and Administration,116
Chris Coons,Appropriations,117
Chris Coons,Foreign Relations,117
Chris Coons,Judiciary,117
Chris Coons,Small Business and Entrepreneurship,117
Chris Coons,Appropriations,116
Chris Coons,Foreign Relations,116
Chris Coons,Judiciary,116
Chris Coons,Small Business and Entrepreneurship,116
Chris Murphy,Appropriations,117
Chris Murphy,Foreign Relations,117
Chris Murphy,"Health, Education, Labor and Pensions",117
Chris Murphy,Foreign Relations,116
Chris Murphy,"Health, Education, Labor and Pensions",116
Chris Van Hollen,Appropriations,117
Chris Van Hollen,"Banking, Housing, and Urban Affairs",117
Chris Van Hollen,Budget,117
Chris Van Hollen,Foreign Relations,117
Chris Van Hollen,Appropriations,116
Chris Van Hollen,"Banking, Housing, and Urban Affairs",116
Chris Van Hollen,Budget,116
Chris Van Hollen,Environment and Public Works,116
Christopher Murphy,Appropriations,116
Chuck Grassley,"Agriculture, Nutrition, and Forestry",117
Chuck Grassley,Budget,117
Chuck Grassley,Finance,117
Chuck Grassley,Judiciary,117
