Date,Open,High,Low,Close
11/01/2019,"1,784.35","1,796.77","1,784.35","1,796.77"
11/04/2019,"1,802.15","1,807.25","1,801.46","1,803.44"
11/05/2019,"1,803.84","1,807.50","1,800.34","1,801.51"
11/06/2019,"1,801.53","1,801.85","1,795.63","1,801.35"
11/07/2019,"1,806.08","1,813.67","1,803.49","1,806.32"
11/08/2019,"1,804.92","1,811.45","1,800.09","1,811.45"
11/11/2019,"1,806.69","1,809.10","1,801.40","1,808.48"
11/12/2019,"1,809.42","1,817.61","1,807.49","1,811.05"
11/13/2019,"1,807.26","1,814.17","1,803.32","1,811.76"
11/14/2019,"1,809.57","1,814.22","1,806.59","1,813.40"
11/15/2019,"1,816.57","1,827.11","1,816.57","1,827.11"
11/18/2019,"1,825.90","1,828.91","1,822.20","1,827.71"
11/19/2019,"1,829.47","1,831.32","1,823.51","1,827.89"
11/20/2019,"1,825.15","1,828.22","1,811.78","1,821.75"
11/21/2019,"1,822.13","1,822.50","1,813.68","1,817.88"
11/22/2019,"1,820.74","1,823.25","1,815.50","1,821.99"
11/25/2019,"1,825.56","1,838.03","1,825.56","1,837.92"
11/26/2019,"1,838.56","1,843.32","1,836.83","1,842.18"
11/27/2019,"1,844.18","1,850.46","1,844.18","1,850.22"
11/29/2019,"1,847.90","1,847.97","1,841.23","1,842.05"
12/02/2019,"1,842.99","1,843.91","1,824.24","1,825.53"
12/03/2019,"1,822.78","1,822.78","1,800.89","1,814.41"
12/04/2019,"1,817.63","1,829.49","1,817.63","1,825.48"
12/05/2019,"1,827.51","1,829.24","1,820.52","1,827.76"
12/06/2019,"1,831.02","1,847.37","1,831.02","1,844.44"
12/09/2019,"1,842.44","1,845.94","1,838.56","1,838.57"
12/10/2019,"1,838.58","1,841.87","1,833.69","1,836.73"
12/11/2019,"1,838.25","1,842.51","1,836.49","1,841.25"
12/12/2019,"1,840.91","1,861.06","1,839.44","1,856.28"
12/13/2019,"1,855.62","1,864.30","1,848.78","1,855.75"
12/16/2019,"1,862.78","1,873.48","1,862.78","1,869.31"
12/17/2019,"1,869.96","1,873.02","1,868.92","1,870.48"
12/18/2019,"1,872.02","1,873.95","1,869.81","1,870.29"
12/19/2019,"1,871.07","1,878.66","1,871.07","1,878.65"
12/20/2019,"1,882.08","1,889.92","1,881.62","1,887.82"
12/23/2019,"1,889.49","1,891.46","1,888.55","1,889.47"
12/24/2019,"1,890.48","1,890.98","1,887.78","1,889.63"
12/26/2019,"1,892.13","1,898.33","1,892.13","1,898.24"
12/27/2019,"1,901.51","1,903.05","1,894.11","1,897.24"
12/30/2019,"1,897.25","1,897.61","1,883.61","1,886.66"
12/31/2019,"1,882.85","1,892.72","1,881.45","1,892.25"
1/2/2020,"1,898.47","1,906.65","1,893.55","1,906.50"
1/3/2020,"1,898.47","1,906.65","1,889.50","1,894.53"
1/6/2020,"1,885.39","1,900.99","1,883.30","1,900.90"
1/7/2020,"1,899.05","1,900.22","1,893.15","1,896.01"
1/8/2020,"1,896.88","1,912.90","1,895.99","1,905.02"
1/9/2020,"1,912.51","1,917.46","1,910.82","1,916.71"
1/10/2020,"1,918.34","1,921.26","1,908.81","1,911.28"
1/13/2020,"1,913.94","1,925.22","1,912.79","1,925.22"
1/14/2020,"1,924.30","1,930.45","1,919.87","1,923.63"
1/15/2020,"1,923.49","1,933.29","1,922.38","1,927.33"
1/16/2020,"1,934.31","1,944.37","1,934.31","1,944.24"
1/17/2020,"1,947.46","1,949.96","1,944.57","1,949.87"
1/21/2020,"1,946.94","1,949.73","1,942.13","1,944.33"
1/22/2020,"1,949.20","1,954.67","1,944.00","1,945.04"
1/23/2020,"1,942.28","1,948.18","1,933.04","1,947.14"
1/24/2020,"1,949.49","1,952.10","1,920.78","1,929.12"
1/27/2020,"1,928.11","1,928.11","1,897.78","1,899.62"
1/28/2020,"1,904.10","1,923.85","1,904.10","1,918.66"
1/29/2020,"1,922.62","1,927.81","1,915.98","1,916.53"
1/30/2020,"1,909.88","1,923.29","1,899.17","1,922.25"
1/31/2020,"1,922.85","1,922.85","1,882.02","1,888.03"
