,disclosure_year,disclosure_date,transaction_date,owner,asset_description,type_detailed,amount,representative,district,cap_gains_over_200_usd,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,name,name_committee,party,education,assumed_office,born,age,in_office,Agriculture,Appropriations,Armed_Services,Budget,Education_and_Labor,Energy_and_Commerce,Ethics,Financial_Services,Foreign_Affairs,Homeland_Security,House_Administration,Judiciary,Natural_Resources,Oversight_and_Reform,Rules,Science_Space_and_Technology,Small_Business,Transportation_and_Infrastructure,Veterans_Affairs,Ways_and_Means
0,2020,05/05/2020,2020-04-09,,"Agilent Technologies, Inc.",sale_partial,"$1,001 - $15,000",Peter Welch,VT00,True,A,,Sale,1,36358656500.0,0.027064981488574058,0.010104594561656355,0.016960386926917703,-0.015575130856632091,-0.030374719515954274,0.014799588659322183,-0.01940508106727945,-0.028783218989038684,0.009378137921759233,-0.021384795931673084,-0.01448737809002254,-0.006897417841650544,-0.08355235855581666,-0.10404843879852788,0.020496080242711212,-0.074338225209162,0.03206197978648462,-0.10640020499564662,0.189,Peter Welch,Peter Welch,Democratic,"College of the Holy Cross; BA; University of California, Berkeley; JD",2007,1947-05-02,73,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2020,12/29/2020,2020-11-17,joint,American Airlines,sale_full,"$15,001 - $50,000",Kenny Marchant,TX24,False,AA,,Sale,2,4285686500.0,-0.003284072249589487,0.01156383241031389,-0.014847904659903377,-0.1395730706075533,-0.007169908547650206,-0.1324031620599031,-0.20470717022441165,-0.027671192648350162,-0.1770359775760615,-0.03454133635334089,0.004791957892530951,-0.03933329424587184,-0.14258911819887432,-0.018050897891147333,-0.12453822030772699,-0.44770206022187,-0.03608692781753309,-0.4116151324043369,1.57,Kenny Marchant,Kenny Marchant,Republican,Southern Nazarene University (BA); Nazarene Theological Seminary,2005,1951-02-23,69,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2020,05/05/2020,2020-03-25,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",James R. Langevin,RI02,False,AAL,,Purchase,1,8021126640.0,0.01754385964912286,0.06241416083633622,-0.04487030118721336,-0.30539311241065636,-0.0020439819677163795,-0.30334913044294,-0.34892787524366475,0.16275913328701397,-0.5116870085306787,0.1056034482758621,0.011535019797084933,0.09406842847877717,0.32103004291845494,0.03230057128560104,0.2887294716328539,-0.39528487229862475,-0.2325962757564578,-0.16268859654216694,,James Langevin,James R. Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22,56,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2020,08/18/2020,2020-03-25,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",James R. Langevin,RI02,False,AAL,,Purchase,1,8021126640.0,0.01754385964912286,0.06241416083633622,-0.04487030118721336,-0.30539311241065636,-0.0020439819677163795,-0.30334913044294,-0.34892787524366475,0.16275913328701397,-0.5116870085306787,0.1056034482758621,0.011535019797084933,0.09406842847877717,0.32103004291845494,0.03230057128560104,0.2887294716328539,-0.39528487229862475,-0.2325962757564578,-0.16268859654216694,,James Langevin,James R. Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22,56,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2020,05/07/2020,2020-04-23,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.005853658536585371,0.01391807849024218,-0.00806441995365681,0.17170731707317066,0.040971477589534455,0.1307358394836362,0.086829268292683,0.06932947315748073,0.01749979513520228,-0.0019474196689386325,-0.000539418642450995,-0.0014080010264876375,-0.07407407407407418,-0.0006251004625743573,-0.07344897361149982,0.0,0.25046929471708235,-0.25046929471708235,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2020,05/07/2020,2020-04-23,--,"American Airlines Group, Inc.",sale_full,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Sale,1,8021126640.0,-0.005853658536585371,-0.01391807849024218,0.00806441995365681,-0.17170731707317066,-0.040971477589534455,-0.1307358394836362,-0.086829268292683,-0.06932947315748073,-0.01749979513520228,0.0019474196689386325,0.000539418642450995,0.0014080010264876375,0.07407407407407418,0.0006251004625743573,0.07344897361149982,-0.0,-0.25046929471708235,0.25046929471708235,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2020,06/15/2020,2020-05-13,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Dean Phillips,MN03,False,AAL,,Purchase,1,8021126640.0,0.004390779363337094,0.01152482269503552,-0.007134043331698425,0.08342480790340279,0.05376241134751769,0.029662396555885095,0.8331503841931944,0.08744326241134748,0.745707121781847,-0.05595854922279808,-0.017462684487059787,-0.038495864735738294,-0.015135135135135203,-0.009977461189010106,-0.0051576739461250964,-0.21193771626297586,0.021136068191611512,-0.23307378445458737,,Dean Phillips,Dean Phillips,Democratic,Brown University; BA; University of Minnesota; MBA,2019,1969-01-20,51,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7,2020,05/20/2020,2020-05-19,joint,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Kathy Castor,FL14,False,AAL,,Purchase,1,8021126640.0,0.02385892116182564,0.01665104312780974,0.007207878034015902,0.24273858921161828,0.038724708683722575,0.2040138805278957,0.6597510373443982,0.05980280128911297,0.5999482360552852,-0.023302938196555156,-0.010484408800538803,-0.012818529396016354,-0.0010362694300518616,0.018403411704040362,-0.019439681134092224,-0.16681071737251507,0.01683040187019924,-0.1836411192427143,,Kathy Castor,Kathy Castor,Democratic,Emory University; BA; Florida State University; JD,2007,1966-08-20,54,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020,06/10/2020,2020-05-26,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.07540394973070019,0.014827343010993532,0.06057660671970666,0.007181328545780907,0.029764988618777632,-0.022583660072996725,0.18222621184919197,0.030747684481093218,0.15147852736809875,0.14845360824742282,0.012289160703107926,0.1361644475443149,0.12867274569402243,0.01281691046782063,0.1158558352262018,0.086829268292683,0.06932947315748073,0.01749979513520228,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2020,06/10/2020,2020-06-01,--,"American Airlines Group, Inc.",sale_full,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Sale,1,8021126640.0,-0.00990099009900991,-0.00821080396500995,-0.0016901861339999602,-0.828082808280828,-0.0578126994204331,-0.7702701088603949,-0.1530153015301532,-0.019677785668236414,-0.13333751586191678,-0.05809523809523798,-0.0037512605483673855,-0.05434397754687059,-0.1453608247422682,-0.033930535113096294,-0.1114302896291719,0.12034837688044342,-0.0395372017785276,0.15988557865897102,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2020,07/21/2020,2020-06-09,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,-0.08247978436657688,-0.0053130787794885,-0.07716670558708838,-0.08194070080862537,-0.02570482479935643,-0.05623587600926894,-0.35633423180592994,-0.0069032608085607405,-0.3494309709973692,-0.0866568193008368,-0.007799182648133507,-0.07885763665270329,0.6532976827094472,0.04101505443355968,0.6122826282758875,0.9444444444444446,0.11314422165841198,0.8313002227860327,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2020,07/21/2020,2020-06-11,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.16411682892906798,0.013060857399820103,0.15105597152924788,0.14673157162725992,0.0377202624829287,0.10901130914433121,-0.19541029207232274,0.06509443389627267,-0.2605047259685954,-0.1551116333725029,-0.058944121574601716,-0.09616751179790117,-0.13995215311004772,-0.03542339389850124,-0.10452875921154647,0.4237623762376239,0.024495618225995663,0.39926675801162825,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2020,07/21/2020,2020-06-25,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,-0.05998481397114652,-0.024226917788673585,-0.03575789618247294,-0.05087319665907364,0.01499792461151328,-0.06587112127058692,-0.10630220197418383,0.043673956468726516,-0.14997615844291035,0.009969325153374342,0.01095946995898811,-0.0009901448056137685,-0.2013341419041842,-0.010136935294382088,-0.1911972066098021,0.18222621184919197,0.030747684481093218,0.15147852736809875,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2020,11/23/2020,2020-07-09,,"American Airlines Group, Inc.",purchase,"$15,001 - $50,000",Michael Garcia,CA25,False,AAL,,Purchase,2,8021126640.0,0.06797853309481217,0.01046620453355751,0.057512328561254655,0.11359570661896234,0.02015196459447033,0.09344374202449202,0.2522361359570662,0.06612204755635198,0.1861140884007142,-0.06755629691409504,-0.005643639942711776,-0.06191265697138326,-0.1272443403590946,0.011614770881875458,-0.13885911124097006,-0.44953225012309206,-0.02485467409563813,-0.42467757602745393,,Mike Garcia,Mike Garcia,Republican,United States Naval Academy; BS; Georgetown University; MA,2020,1976-04-24,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,2020,07/16/2020,2020-07-14,joint,"American Airlines Group, Inc.",sale_full,"$1,001 - $15,000",Kathy Castor,FL14,False,AAL,,Sale,1,8021126640.0,-0.1616248919619705,-0.00908203857989931,-0.1525428533820712,0.008643042350907515,-0.01869573919787837,0.027338781548785884,-0.14952463267070004,-0.0550145112462157,-0.09451012142448434,0.005159071367153989,-0.013406355182840057,0.018565426549994046,0.028547439126784147,-0.016596085612910594,0.04514352473969474,0.19541029207232263,-0.06509443389627267,0.2605047259685953,,Kathy Castor,Kathy Castor,Democratic,Emory University; BA; Florida State University; JD,2007,1966-08-20,54,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
