gvkey,permno,adate,qdate,public_date,bm,TICKER,cusip
012142,10104,2019/05/31,2019/08/31,2019/11/30,0.107,ORCL,68389X10
012142,10104,2019/05/31,2019/08/31,2019/12/31,0.107,ORCL,68389X10
012142,10104,2019/05/31,2019/11/30,2020/01/31,0.086,ORCL,68389X10
012142,10104,2019/05/31,2019/11/30,2020/02/29,0.086,ORCL,68389X10
012142,10104,2019/05/31,2019/11/30,2020/03/31,0.086,ORCL,68389X10
012142,10104,2019/05/31,2020/02/29,2020/04/30,0.091,ORCL,68389X10
012142,10104,2019/05/31,2020/02/29,2020/05/31,0.091,ORCL,68389X10
012142,10104,2019/05/31,2020/02/29,2020/06/30,0.091,ORCL,68389X10
012142,10104,2020/05/31,2020/05/31,2020/07/31,0.073,ORCL,68389X10
012142,10104,2020/05/31,2020/05/31,2020/08/31,0.073,ORCL,68389X10
012142,10104,2020/05/31,2020/05/31,2020/09/30,0.073,ORCL,68389X10
012142,10104,2020/05/31,2020/08/31,2020/10/31,0.055,ORCL,68389X10
012142,10104,2020/05/31,2020/08/31,2020/11/30,0.055,ORCL,68389X10
012142,10104,2020/05/31,2020/08/31,2020/12/31,0.055,ORCL,68389X10
012141,10107,2019/06/30,2019/09/30,2019/11/30,0.100,MSFT,59491810
012141,10107,2019/06/30,2019/09/30,2019/12/31,0.100,MSFT,59491810
012141,10107,2019/06/30,2019/09/30,2020/01/31,0.100,MSFT,59491810
012141,10107,2019/06/30,2019/12/31,2020/02/29,0.092,MSFT,59491810
012141,10107,2019/06/30,2019/12/31,2020/03/31,0.092,MSFT,59491810
012141,10107,2019/06/30,2019/12/31,2020/04/30,0.092,MSFT,59491810
012141,10107,2019/06/30,2020/03/31,2020/05/31,0.096,MSFT,59491810
012141,10107,2019/06/30,2020/03/31,2020/06/30,0.096,MSFT,59491810
012141,10107,2019/06/30,2020/03/31,2020/07/31,0.096,MSFT,59491810
012141,10107,2020/06/30,2020/06/30,2020/08/31,0.077,MSFT,59491810
012141,10107,2020/06/30,2020/06/30,2020/09/30,0.077,MSFT,59491810
012141,10107,2020/06/30,2020/06/30,2020/10/31,0.077,MSFT,59491810
012141,10107,2020/06/30,2020/09/30,2020/11/30,0.078,MSFT,59491810
012141,10107,2020/06/30,2020/09/30,2020/12/31,0.078,MSFT,59491810
012138,10138,2018/12/31,2019/09/30,2019/11/30,0.255,TROW,74144T10
012138,10138,2018/12/31,2019/09/30,2019/12/31,0.255,TROW,74144T10
012138,10138,2018/12/31,2019/09/30,2020/01/31,0.255,TROW,74144T10
012138,10138,2019/12/31,2019/12/31,2020/02/29,0.248,TROW,74144T10
012138,10138,2019/12/31,2019/12/31,2020/03/31,0.248,TROW,74144T10
012138,10138,2019/12/31,2019/12/31,2020/04/30,0.248,TROW,74144T10
012138,10138,2019/12/31,2020/03/31,2020/05/31,0.289,TROW,74144T10
012138,10138,2019/12/31,2020/03/31,2020/06/30,0.289,TROW,74144T10
012138,10138,2019/12/31,2020/03/31,2020/07/31,0.289,TROW,74144T10
012138,10138,2019/12/31,2020/06/30,2020/08/31,0.241,TROW,74144T10
012138,10138,2019/12/31,2020/06/30,2020/09/30,0.241,TROW,74144T10
012138,10138,2019/12/31,2020/06/30,2020/10/31,0.241,TROW,74144T10
012138,10138,2019/12/31,2020/09/30,2020/11/30,0.246,TROW,74144T10
012138,10138,2019/12/31,2020/09/30,2020/12/31,0.246,TROW,74144T10
001300,10145,2018/12/31,2019/09/30,2019/11/30,0.161,HON,43851610
001300,10145,2018/12/31,2019/09/30,2019/12/31,0.161,HON,43851610
001300,10145,2018/12/31,2019/09/30,2020/01/31,0.161,HON,43851610
001300,10145,2019/12/31,2019/12/31,2020/02/29,0.160,HON,43851610
001300,10145,2019/12/31,2019/12/31,2020/03/31,0.160,HON,43851610
001300,10145,2019/12/31,2019/12/31,2020/04/30,0.160,HON,43851610
001300,10145,2019/12/31,2020/03/31,2020/05/31,0.206,HON,43851610
001300,10145,2019/12/31,2020/03/31,2020/06/30,0.206,HON,43851610
001300,10145,2019/12/31,2020/03/31,2020/07/31,0.206,HON,43851610
001300,10145,2019/12/31,2020/06/30,2020/08/31,0.193,HON,43851610
001300,10145,2019/12/31,2020/06/30,2020/09/30,0.193,HON,43851610
001300,10145,2019/12/31,2020/06/30,2020/10/31,0.193,HON,43851610
001300,10145,2019/12/31,2020/09/30,2020/11/30,0.169,HON,43851610
001300,10145,2019/12/31,2020/09/30,2020/12/31,0.169,HON,43851610
012379,10501,2019/04/30,2019/07/31,2019/11/30,0.498,AMWD,03050610
012379,10501,2019/04/30,2019/10/31,2019/12/31,0.438,AMWD,03050610
012379,10501,2019/04/30,2019/10/31,2020/01/31,0.438,AMWD,03050610
012379,10501,2019/04/30,2019/10/31,2020/02/29,0.438,AMWD,03050610
012379,10501,2019/04/30,2020/01/31,2020/03/31,0.402,AMWD,03050610
012379,10501,2019/04/30,2020/01/31,2020/04/30,0.402,AMWD,03050610
012379,10501,2019/04/30,2020/01/31,2020/05/31,0.402,AMWD,03050610
012379,10501,2020/04/30,2020/04/30,2020/06/30,0.866,AMWD,03050610
012379,10501,2020/04/30,2020/04/30,2020/07/31,0.866,AMWD,03050610
012379,10501,2020/04/30,2020/04/30,2020/08/31,0.866,AMWD,03050610
012379,10501,2020/04/30,2020/07/31,2020/09/30,0.563,AMWD,03050610
012379,10501,2020/04/30,2020/07/31,2020/10/31,0.563,AMWD,03050610
012379,10501,2020/04/30,2020/07/31,2020/11/30,0.563,AMWD,03050610
012379,10501,2020/04/30,2020/10/31,2020/12/31,0.565,AMWD,03050610
001722,10516,2018/12/31,2019/09/30,2019/11/30,0.882,ADM,03948310
001722,10516,2018/12/31,2019/09/30,2019/12/31,0.882,ADM,03948310
001722,10516,2018/12/31,2019/09/30,2020/01/31,0.882,ADM,03948310
001722,10516,2019/12/31,2019/12/31,2020/02/29,0.790,ADM,03948310
