transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,Senator,Party,Born,Occupation(s),Assumed office,age,in_office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
2020-04-13,Self,Alcoa Corporation,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,AA,,Sale,2,4285686500.0,-0.02251655629139071,-0.030572524197665762,0.008055967906275052,0.013245033112582738,-0.02228031995596802,0.03552535306855076,0.07549668874172177,-0.021136068191611512,0.09663275693333329,-0.018893387314439902,0.010104594561656466,-0.028997981876096368,-0.2646566164154103,-0.10968999256625067,-0.1549666238491596,0.17934782608695654,-0.007386790594517967,0.1867346166814745,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2020-06-04,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,0.11184210526315796,0.02621170498176606,0.0856304002813919,-0.13995215311004772,-0.03542339389850113,-0.10452875921154658,-0.28767942583732053,0.010593281603932692,-0.2982727074412532,0.4109704641350209,-0.0033686961032640683,0.414339160238285,0.5227686703096537,0.027269756710994075,0.4954989135986596,0.7026476578411405,0.09484159648789547,0.607806061353245,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-06-04,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,0.11184210526315796,0.02621170498176606,0.0856304002813919,-0.13995215311004772,-0.03542339389850113,-0.10452875921154658,-0.28767942583732053,0.010593281603932692,-0.2982727074412532,0.4109704641350209,-0.0033686961032640683,0.414339160238285,0.5227686703096537,0.027269756710994075,0.4954989135986596,0.7026476578411405,0.09484159648789547,0.607806061353245,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-06-30,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,-0.019892884468247884,0.005022110834792981,-0.024914995303040866,-0.08263198163733743,0.02246564031106768,-0.1050976219484051,-0.1491966335118593,0.0551012969754443,-0.2042979304873036,-0.01876876876876865,0.015409859690034278,-0.03417862845880293,-0.06642857142857128,-0.009900073132798282,-0.056528498295773,0.24476190476190474,0.018388403283502663,0.22637350147840207,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-07-02,Spouse,American Airlines Group Inc.,Sale (Full),"$1,001 - $15,000",Pat Roberts,AAL,,Sale,1,8021126640.0,-0.02400000000000002,-0.0158817383970018,-0.008118261602998222,0.04480000000000006,-0.0175814134779122,0.06238141347791226,0.08239999999999992,-0.056389596199373226,0.13878959619937314,0.024199843871974935,-0.004541282342595654,0.02874112621457059,0.05087319665907375,-0.01499792461151328,0.06587112127058703,-0.11408199643493755,-0.0159665283917918,-0.09811546804314575,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-07-07,Spouse,American Airlines Group Inc.,Sale (Full),"$1,001 - $15,000",Pat Roberts,AAL,,Sale,1,8021126640.0,-0.0067170445004198776,-0.007827502448081614,0.001110457947661736,0.028547439126784258,-0.016596085612910594,0.04514352473969485,-0.09487825356842983,-0.06480739638574118,-0.03007085718268865,0.06953124999999993,0.010818562640735552,0.05871268735926438,0.10585585585585577,-0.030158127104322086,0.13601398296017786,0.28767942583732053,-0.010593281603932914,0.29827270744125345,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-07-31,Spouse,American Airlines Group Inc.,Sale (Full),"$15,001 - $50,000",Pat Roberts,AAL,,Sale,2,8021126640.0,0.003597122302158251,-0.007181026681992719,0.01077814898415097,-0.17176258992805749,-0.024505368191934274,-0.1472572217361232,-0.17805755395683454,-0.07811697522561079,-0.09994057873122375,0.005366726296958779,-0.007670459796317086,0.013037186093275865,0.02370500438981582,-0.01725633857129072,0.04096134296110654,0.1491966335118593,-0.05510129697544408,0.20429793048730338,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2020-01-10,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,2255969107000.0,-0.021364354763134585,-0.006976281256220629,-0.014388073506913956,-0.027068025233397464,-0.01968242301744061,-0.007385602215956855,-0.05436155235915163,-0.034942655458067184,-0.019418896901084448,-0.002260730549365375,0.0028552233792407122,-0.005115953928606087,-0.043371551066521574,-0.009428567012380817,-0.03394298405414076,-0.1626329176295176,-0.041260092603222054,-0.12137282502629554,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
2020-01-27,Self,Apple Inc.,Sale (Partial),"$15,001 - $50,000",James M Inhofe,AAPL,,Sale,2,2255969107000.0,-0.028289333928165128,-0.010053551114029613,-0.018235782814135515,0.0009386955514258943,-0.0016308888498379748,0.002569584401263869,0.11467881163039939,0.08165851222241749,0.0330202994079819,0.029405265307404727,0.015730684849201926,0.0136745804582028,0.03068427726651768,0.025825769907677154,0.004858507358840525,-0.08785214788732398,-0.006085589064549923,-0.08176655882277406,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-01-28,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,2255969107000.0,-0.02093235544083849,0.0008668473616095795,-0.02179920280244807,-0.003651389719537823,-0.006516616609283821,0.0028652268897459976,0.139538575340741,0.09828950260054203,0.041249072740198955,-0.02828933392816535,-0.010053551114029613,-0.018235782814135737,-0.0035378904021894364,0.013415482460498951,-0.016953372862688387,-0.11756432678665796,-0.016398935279116955,-0.101165391507541,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
