,Purchase,Sale
-21,-0.0005577813715451629,0.0006688826457506014
-20,-0.0020738080382883828,-0.0040969405736213105
-19,7.115722588357798e-05,-0.010117220600857957
-18,0.0010925791568692222,-0.008421722203601045
-17,0.0005814977083618,-0.0020566945394362435
-16,0.0007935161925054501,-0.0038500859473244997
-15,-0.001114600987846881,-0.0060694512074396245
-14,-0.0038701443061153196,-0.002122398359352351
-13,-0.005218572055155191,6.176108787148138e-05
-12,-0.0037273264552927232,-0.0016338975274640122
-11,-0.003205845002688501,-0.006241802059403279
-10,-0.0028514554065712794,-0.005113641747201969
-9,-0.005847611329267366,-0.00115086235645101
-8,-0.0071541565801834794,-0.001938723997609526
-7,-0.006415776223008596,-0.00042876718929252267
-6,-0.010386174014579641,-0.0015697910012654193
-5,-0.008070014387791535,-0.00021394423046827704
-4,-0.007403046258745105,0.0020895602581749717
-3,-0.012644163263467623,0.0022876409368364214
-2,-0.01969101558457953,0.004522846184796814
-1,-0.017531792794595047,-0.0014810946531901292
0,-0.01683585146233213,-0.0055219947196235575
1,-0.01884208009077204,-0.005856997315407675
2,-0.02481949667672445,-0.008883422082543557
3,-0.022920212515946448,-0.005949235598631253
4,-0.024288203770807093,-0.008337136554873004
5,-0.0222193660035942,-0.01025302558204133
6,-0.02405156085879412,-0.014178742709490488
7,-0.020985331547401676,-0.012322096976307373
8,-0.01907075876663422,-0.014342991556529405
9,-0.01959943679663778,-0.010876346749134846
10,-0.01747249067715506,-0.007491280205871087
11,-0.021446179159900325,-0.0068743027998507955
12,-0.024602355749822835,-0.012529788268034858
13,-0.02673825417009501,-0.016386653214632063
14,-0.027739252675667236,-0.018570031592604175
15,-0.025673464401096413,-0.021835890023653937
16,-0.028065415107239255,-0.0254274325523699
17,-0.027806145757105494,-0.0236551389561096
18,-0.02844121536034505,-0.022387502699910078
19,-0.02492767549015451,-0.027928152547913365
20,-0.02693871389910052,-0.029833153774571297
21,-0.025462537519311823,-0.031181485453898983
22,-0.02447408849317989,-0.028111520834002923
