,Purchases,Sales
-21,-3.434736557561546e-05,-0.001312695783497353
-20,-0.0025186619247689057,-0.01156394194648891
-19,-0.001364724278715479,-0.02266335808489306
-18,-0.00154239137808454,-0.021951794034062333
-17,-0.003906886926575481,-0.013660915423461817
-16,-0.006524986156189461,-0.01976257374938173
-15,-0.010992919146138758,-0.023697979393905833
-14,-0.014341671962294744,-0.019122971513115816
-13,-0.01573439370833607,-0.014660346985632566
-12,-0.013108567098272572,-0.018426942819342984
-11,-0.012695310340876897,-0.027413767355719876
-10,-0.011781499646785099,-0.02790633933548503
-9,-0.019822565460591024,-0.023978300102446615
-8,-0.022694029248416014,-0.024574459142398752
-7,-0.023932891232477882,-0.02396884236869068
-6,-0.023599937579271812,-0.026527511126745895
-5,-0.01895070974669988,-0.02512826309708205
-4,-0.02114947817590862,-0.022144445489642006
-3,-0.02559711438884449,-0.02146211423216071
-2,-0.0322080544228982,-0.020528939583270844
-1,-0.028420198545966224,-0.029311876830699357
0,-0.026119700416719627,-0.03785291846331884
1,-0.027427786181322467,-0.03994697967853056
2,-0.03131702059549213,-0.03972150476247749
3,-0.030466762462029506,-0.03385841569728598
4,-0.03155046598455358,-0.03503300307161317
5,-0.02804361616707296,-0.036211960231250506
6,-0.03100718171094785,-0.03611125391363035
7,-0.02687509476588823,-0.03254121101117613
8,-0.02489930903351334,-0.03274869031043437
9,-0.02633524718349045,-0.027579020193611914
10,-0.022117887782668766,-0.022359235873319228
11,-0.030828879243226526,-0.019905011308283593
12,-0.03378690886657976,-0.02613252126533161
13,-0.03328016629654118,-0.0303046591314583
14,-0.03456131011151198,-0.03184197486162055
15,-0.03186294180294247,-0.03538286152385317
16,-0.030644287280712112,-0.03753349884579149
17,-0.028580219502199022,-0.03486389654916522
18,-0.027385772845933132,-0.03156232376753976
19,-0.022740292586690303,-0.03797886483603352
20,-0.01861617219553291,-0.04109847464177474
21,-0.013453364384920175,-0.042057486584104575
22,-0.013562209314346152,-0.039188880033268925
