,Unnamed: 0,disclosure_year,disclosure_date,transaction_date,owner,asset_description,type_detailed,amount,representative,district,cap_gains_over_200_usd,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,name,name_committee,party,education,assumed_office,born,age,in_office,Agriculture,Appropriations,Armed_Services,Budget,Education_and_Labor,Energy_and_Commerce,Ethics,Financial_Services,Foreign_Affairs,Homeland_Security,House_Administration,Judiciary,Natural_Resources,Oversight_and_Reform,Rules,Science_Space_and_Technology,Small_Business,Transportation_and_Infrastructure,Veterans_Affairs,Ways_and_Means
0,0,2020,05/05/2020,2020-04-09,,"Agilent Technologies, Inc.",sale_partial,"$1,001 - $15,000",Peter Welch,VT00,True,A,,Sale,1,36358656500.0,0.027064981488574,0.0101045945616563,0.1524273954578502,-0.015575130856632,-0.0303747195159542,0.13300774109155153,-0.0194050810672794,-0.0287832189890386,0.08428375742946796,-0.021384795931673,-0.0144873780900225,-0.061988882772402686,-0.0835523585558166,-0.1040484387985278,0.18420358815831223,-0.074338225209162,0.0320619797864846,-0.9562462338596653,0.189,Peter Welch,Peter Welch,Democratic,"College of the Holy Cross; BA; University of California, Berkeley; JD",2007,1947-05-02,73,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2020,12/29/2020,2020-11-17,joint,American Airlines,sale_full,"$15,001 - $50,000",Kenny Marchant,TX24,False,AA,,Sale,2,4285686500.0,-0.0032840722495894,0.0115638324103138,-0.1542550411685054,-0.1395730706075533,-0.0071699085476502,-1.3755378743470232,-0.2047071702244116,-0.0276711926483501,-1.839228674672795,-0.0345413363533408,0.0047919578925309,-0.4086340168639934,-0.1425891181988743,-0.0180508978911473,-1.2938289099134022,-0.44770206022187,-0.036086927817533,-4.276274036569973,1.57,Kenny Marchant,Kenny Marchant,Republican,Southern Nazarene University (BA); Nazarene Theological Seminary,2005,1951-02-23,69,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2020,05/05/2020,2020-03-25,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",James R. Langevin,RI02,False,AAL,,Purchase,1,8021126640.0,0.0175438596491228,0.0624141608363362,-0.40326103247805906,-0.3053931124106563,-0.0020439819677163,-2.726277299395563,-0.3489278752436647,0.1627591332870139,-4.598663835679638,0.1056034482758621,0.0115350197970849,0.845417360442194,0.3210300429184549,0.032300571285601,2.5298120656158365,-0.3952848722986247,-0.2325962757564578,-1.4621246053212669,,James Langevin,James R. Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22,56,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,3,2020,08/18/2020,2020-03-25,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",James R. Langevin,RI02,False,AAL,,Purchase,1,8021126640.0,0.0175438596491228,0.0624141608363362,-0.40326103247805906,-0.3053931124106563,-0.0020439819677163,-2.726277299395563,-0.3489278752436647,0.1627591332870139,-4.598663835679638,0.1056034482758621,0.0115350197970849,0.845417360442194,0.3210300429184549,0.032300571285601,2.5298120656158365,-0.3952848722986247,-0.2325962757564578,-1.4621246053212669,,James Langevin,James R. Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22,56,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,2020,05/07/2020,2020-04-23,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.0058536585365853,0.0139180784902421,-0.07247703337848431,0.1717073170731706,0.0409714775895344,1.1749568916885442,0.086829268292683,0.0693294731574807,0.15727519690434316,-0.0019474196689386,-0.0005394186424509,-0.012654070346052421,-0.0740740740740741,-0.0006251004625743,-0.6601049725395578,0.0,0.2504692947170823,-2.251032502996551,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,2020,05/07/2020,2020-04-23,--,"American Airlines Group, Inc.",sale_full,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Sale,1,8021126640.0,-0.0058536585365853,-0.0139180784902421,0.07247703337848431,-0.1717073170731706,-0.0409714775895344,-1.1749568916885442,-0.086829268292683,-0.0693294731574807,-0.15727519690434316,0.0019474196689386,0.0005394186424509,0.012654070346052421,0.0740740740740741,0.0006251004625743,0.6601049725395578,-0.0,-0.2504692947170823,2.251032502996551,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,6,2020,06/15/2020,2020-05-13,,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Dean Phillips,MN03,False,AAL,,Purchase,1,8021126640.0,0.004390779363337,0.0115248226950355,-0.06411549741287974,0.0834248079034027,0.0537624113475176,0.2665836498621171,0.8331503841931944,0.0874432624113474,3.4590721371861752,-0.055958549222798,-0.0174626844870597,-0.34597231907802156,-0.0151351351351352,-0.0099774611890101,-0.046353353235174165,-0.2119377162629758,0.0211360681916115,-2.094694541286246,,Dean Phillips,Dean Phillips,Democratic,Brown University; BA; University of Minnesota; MBA,2019,1969-01-20,51,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
7,7,2020,05/20/2020,2020-05-19,joint,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Kathy Castor,FL14,False,AAL,,Purchase,1,8021126640.0,0.0238589211618256,0.0166510431278097,0.0647790690293268,0.2427385892116182,0.0387247086837225,1.833525648920301,0.6597510373443982,0.0598028012891129,3.4590721371861752,-0.0233029381965551,-0.0104844088005388,-0.11520344776649184,-0.0010362694300518,0.0184034117040403,-0.17470945542510027,-0.166810717372515,0.0168304018701992,-1.650430360212222,,Kathy Castor,Kathy Castor,Democratic,Emory University; BA; Florida State University; JD,2007,1966-08-20,54,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2020,06/10/2020,2020-05-26,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.0754039497307001,0.0148273430109935,0.544417673237449,0.0071813285457809,0.0297649886187776,-0.20296520944159438,0.1822262118491919,0.0307476844810932,1.3613768066732506,0.1484536082474228,0.0122891607031079,0.9888371948574267,0.1286727456940224,0.0128169104678206,1.0412264347634883,0.086829268292683,0.0693294731574807,0.15727519690434316,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,2020,06/10/2020,2020-06-01,--,"American Airlines Group, Inc.",sale_full,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Sale,1,8021126640.0,-0.0099009900990099,-0.0082108039650099,-0.01519014108314322,-0.828082808280828,-0.0578126994204331,-3.0967322965134887,-0.1530153015301532,-0.0196777856682364,-1.1983388319635104,-0.0580952380952379,-0.0037512605483673,-0.48840341862382075,-0.1453608247422682,-0.0339305351130962,-1.00145290885621,0.1203483768804434,-0.0395372017785276,1.4369331567300065,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,10,2020,07/21/2020,2020-06-09,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,-0.0824797843665768,-0.0053130787794885,-0.6935171938816277,-0.0819407008086253,-0.0257048247993564,-0.5054064007100618,-0.3563342318059299,-0.0069032608085607,-3.140426750341616,-0.0866568193008368,-0.0077991826481335,-0.7087140298583697,0.6532976827094472,0.0410150544335596,2.5298120656158365,0.9444444444444446,0.1131442216584119,3.757439540298289,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,11,2020,07/21/2020,2020-06-11,--,"American Airlines Group, Inc.",purchase,"$1,001 - $15,000",Adam Kinzinger,IL16,False,AAL,,Purchase,1,8021126640.0,0.1641168289290679,0.0130608573998201,0.9367196354133894,0.1467315716272599,0.0377202624829287,0.9797129039520505,-0.1954102920723227,0.0650944338962726,-2.3412235260289753,-0.1551116333725029,-0.0589441215746017,-0.8642823665627376,-0.1399521531100477,-0.0354233938985012,-0.9394270652970522,0.4237623762376239,0.0244956182259956,3.5883138915907087,,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27,42,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
