,transaction_date,owner,asset_description,type_detailed,amount,senator,ticker,share_class,type,amount_discrete,market_cap,return_1d,return_index_1d,return_abnormal_1d,return_5d,return_index_5d,return_abnormal_5d,return_1m,return_index_1m,return_abnormal_1m,return_prev1d,return_index_prev1d,return_abnormal_prev1d,return_prev5d,return_index_prev5d,return_abnormal_prev5d,return_prev1m,return_index_prev1m,return_abnormal_prev1m,bm_ratio,Senator,Party,Born,Occupation(s),Assumed office,age,in_office,Budget,Environment_and_Public_Works,Homeland_Security_and_Governmental_Affairs,Judiciary,Rules_and_Administration,Agriculture_Nutrition_and_Forestry,Commerce_Science_and_Transportation,Armed_Services,Energy_and_Natural_Resources,Finance,Foreign_Relations,Small_Business_and_Entrepreneurship,Health_Education_Labor_and_Pensions,Banking_Housing_and_Urban_Affairs,Veterans_Affairs,Appropriations
0,2020-04-13,Self,Alcoa Corporation,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,AA,,Sale,2,4285686500.0,-0.0225165562913907,-0.0305725241976657,261.8229849378906,0.0132450331125827,-0.022280319955968,1154.591737404432,0.0754966887417217,-0.0211360681916115,3140.6129167117956,-0.0188933873144399,0.0101045945616564,-942.4489099640678,-0.2646566164154103,-0.1096899925662506,-5036.492758409611,0.1793478260869565,-0.0073867905945179,6068.968409456263,1.088,Kelly Loeffler,Republican,1970-11-27,Corporate executive,2020-06-01,50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,2020-06-04,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,0.1118421052631579,0.026211704981766,685.0860174512759,-0.1399521531100477,-0.0354233938985011,-836.2823380719777,-0.2876794258373205,0.0105932816039326,-2386.3307958837463,0.4109704641350209,-0.003368696103264,908.8748297828798,0.5227686703096537,0.027269756710994,2543.5615929344303,0.7026476578411405,0.0948415964878954,3956.48903585422,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
2,2020-06-04,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,0.1118421052631579,0.026211704981766,685.0860174512759,-0.1399521531100477,-0.0354233938985011,-836.2823380719777,-0.2876794258373205,0.0105932816039326,-2386.3307958837463,0.4109704641350209,-0.003368696103264,908.8748297828798,0.5227686703096537,0.027269756710994,2543.5615929344303,0.7026476578411405,0.0948415964878954,3956.48903585422,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
3,2020-06-30,Spouse,American Airlines Group Inc.,Purchase,"$1,001 - $15,000",Pat Roberts,AAL,,Purchase,1,8021126640.0,-0.0198928844682478,0.0050221108347929,-199.33241992197793,-0.0826319816373374,0.0224656403110676,-840.8335243982151,-0.1491966335118593,0.0551012969754443,-1634.4855928636725,-0.0187687687687686,0.0154098596900342,-273.44611698465263,-0.0664285714285712,-0.0099000731327982,-452.2562506153319,0.2447619047619047,0.0183884032835026,1811.101198577955,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4,2020-07-02,Spouse,American Airlines Group Inc.,Sale (Full),"$1,001 - $15,000",Pat Roberts,AAL,,Sale,1,8021126640.0,-0.024,-0.0158817383970018,-64.9501519547871,0.0448,-0.0175814134779122,499.08249853003656,0.0823999999999999,-0.0563895961993732,1110.3861643930843,0.0241998438719749,-0.0045412823425956,229.9433802796713,0.0508731966590737,-0.0149979246115132,527.0019057253313,-0.1140819964349375,-0.0159665283917918,-784.9728020791872,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
5,2020-07-07,Spouse,American Airlines Group Inc.,Sale (Full),"$1,001 - $15,000",Pat Roberts,AAL,,Sale,1,8021126640.0,-0.0067170445004198,-0.0078275024480816,8.88421881026743,0.0285474391267842,-0.0165960856129105,361.17076967992824,-0.0948782535684298,-0.0648073963857411,-240.58189289010014,0.0695312499999999,0.0108185626407355,469.73085521779404,0.1058558558558557,-0.030158127104322,1088.1798706729026,0.2876794258373205,-0.0105932816039329,2386.3307958837477,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
6,2020-07-31,Spouse,American Airlines Group Inc.,Sale (Full),"$15,001 - $50,000",Pat Roberts,AAL,,Sale,2,8021126640.0,0.0035971223021582,-0.0071810266819927,350.2952310593963,-0.1717625899280574,-0.0245053681919342,-4785.9333350348725,-0.1780575539568345,-0.0781169752256107,-3248.1187790541358,0.0053667262969587,-0.007670459796317,423.71506662451014,0.0237050043898158,-0.0172563385712907,1331.2641269074418,0.1491966335118593,-0.055101296975444,6639.7848898026,,Pat Roberts,Republican,1936-04-20,United States Marine Corps officer; Journalist; U.S. Senate staff member; U.S. House staff member,1997-03-01,84,23,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
7,2020-01-10,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,2255969107000.0,-0.0213643547631345,-0.0069762812562206,-115.11178209206464,-0.0270680252333974,-0.0196824230174406,-59.08851052876238,-0.0543615523591516,-0.0349426554580671,-155.36088465712575,-0.0022607305493653,0.0028552233792407,-40.9301894058123,-0.0433715510665215,-0.0094285670123808,-271.56084392515265,-0.1626329176295176,-0.041260092603222,-971.0432866228771,0.097,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
8,2020-01-27,Self,Apple Inc.,Sale (Partial),"$15,001 - $50,000",James M Inhofe,AAPL,,Sale,2,2255969107000.0,-0.0282893339281651,-0.0100535511140296,-592.6720593508109,0.0009386955514258,-0.0016308888498379,83.51277783327414,0.1146788116303993,0.0816585122224174,1073.1762409091157,0.0294052653074047,0.0157306848492019,444.43070218182015,0.0306842772665176,0.0258257699076771,157.90391841599566,-0.0878521478873239,-0.0060855890645499,-2657.4540450195664,0.097,Jim Inhofe,Republican,1934-11-17,"Specialist Fourth Class, U.S. Army; Businessman; Real estate developer; Corporate executive",1994-11-16,86,26,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,2020-01-28,Joint,Apple Inc.,Sale (Partial),"$1,001 - $15,000","David A Perdue , Jr",AAPL,,Sale,1,2255969107000.0,-0.0209323554408384,0.0008668473616095,-174.40452202098524,-0.0036513897195378,-0.0065166166092838,22.923247731412072,0.139538575340741,0.098289502600542,330.0132064579613,-0.0282893339281653,-0.0100535511140296,-145.89538040449267,-0.0035378904021894,0.0134154824604989,-135.63545958793776,-0.1175643267866579,-0.0163989352791169,-809.3737147560818,0.097,David Perdue,Republican,1949-12-10,Corporate executive,2015-03-01,71,5,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
