name,party,education,assumed_office,born
Don Young,Republican,"Yuba College; California State University, Chico; BA",1973,1933-06-09
Eddie Bernice Johnson,Democratic,"St Mary's College, Indiana; Texas Christian University; BS; Southern Methodist University; MPA",1993,1935-12-03
Grace Napolitano,Democratic,Cerritos College; Texas Southmost College,1999,1936-12-04
Bill Pascrell,Democratic,Fordham University; BA; MA,1997,1937-01-25
Hal Rogers,Republican,Western Kentucky University; BA; University of Kentucky; LLB,1981,1937-12-31
Maxine Waters,Democratic,"California State University, Los Angeles; BA",1991,1938-08-15
Steny Hoyer,Democratic,"University of Maryland, College Park; BA; Georgetown University; JD",1981,1939-06-14
Nancy Pelosi,Democratic,Trinity Washington University; BA,1987,1940-03-26
Jim Clyburn,Democratic,South Carolina State University; BA,1993,1940-07-21
David Price,Democratic,Mars Hill University; University of North Carolina at Chapel Hill; BA; Yale University; BDiv; PhD,1997,1940-08-17
Alan Lowenthal,Democratic,Hobart College; BA; Ohio State University; MA; PhD,2013,1941-03-08
Lucille Roybal-Allard,Democratic,"California State University, Los Angeles; BA",1993,1941-06-12
Danny K. Davis,Democratic,University of Arkansas at Pine Bluff; BA; Chicago State University; MS; Union Institute & University; PhD,1997,1941-09-06
John Carter,Republican,Texas Tech University; BA; University of Texas at Austin; JD,2003,1941-11-06
Frederica Wilson,Democratic,Fisk University; BA; University of Miami; MA,2011,1942-11-05
Anna Eshoo,Democratic,Cañada College,1993,1942-12-13
Kay Granger,Republican,Texas Wesleyan University; BA,1997,1943-01-18
Rosa DeLauro,Democratic,"Marymount College, Tarrytown; BA; London School of Economics; MA; Columbia University; MA",1991,1943-03-02
Virginia Foxx,Republican,University of North Carolina at Chapel Hill; BA; University of North Carolina at Greensboro; MA; EdD,2005,1943-06-29
Jan Schakowsky,Democratic,University of Illinois at Urbana–Champaign; BS,1999,1944-05-26
Doris Matsui,Democratic,"University of California, Berkeley; BA",2005,1944-09-25
Emanuel Cleaver,Democratic,Prairie View A&M University; BS; Saint Paul School of Theology; MDiv,2005,1944-10-26
John Garamendi,Democratic,"University of California, Berkeley; BA; Harvard University; MBA",2009,1945-01-24
Bonnie Watson Coleman,Democratic,Rutgers University; Thomas Edison State University; BA,2015,1945-02-06
Jim Baird,Republican,"Purdue University, West Lafayette; BS; MS; University of Kentucky; PhD",2019,1945-06-04
David Scott,Democratic,Florida A&M University; BA; University of Pennsylvania; MBA,2003,1945-06-27
Tom O'Halleran,Democratic,Lewis University; DePaul University,2017,1946-01-24
Dutch Ruppersberger,Democratic,"Baltimore City College; University of Maryland, College Park; BA; University of Baltimore; JD",2003,1946-01-31
Carolyn Maloney,Democratic,Greensboro College; BA,1993,1946-02-19
Alma Adams,Democratic,North Carolina A&T State University; BS; MS; Ohio State University; PhD,2014,1946-05-27
Marcy Kaptur,Democratic,University of Wisconsin–Madison; BA; University of Michigan; MUP; Massachusetts Institute of Technology,1983,1946-06-17
Barbara Lee,Democratic,"Mills College; BA; University of California, Berkeley; MSW",1998,1946-07-16
Lloyd Doggett,Democratic,University of Texas at Austin; BA; JD,1995,1946-10-06
Bobby Rush,Democratic,Roosevelt University; BGS; University of Illinois at Chicago; MA; McCormick Theological Seminary; MA,1993,1946-11-23
Jack Bergman,Republican,Gustavus Adolphus College; BA; University of West Florida; MBA,2017,1947-02-02
Sanford Bishop,Democratic,Morehouse College; BA; Emory University; JD,1993,1947-02-04
David McKinley,Republican,Purdue University; BS,2011,1947-03-28
G. K. Butterfield,Democratic,North Carolina Central University; BA; JD,2004,1947-04-27
Bobby Scott,Democratic,Harvard University; BA; Boston College; JD,1993,1947-04-30
Peter Welch,Democratic,"College of the Holy Cross; BA; University of California, Berkeley; JD",2007,1947-05-02
Peter DeFazio,Democratic,Tufts University; BA; University of Oregon; MA,1987,1947-05-27
Jerry Nadler,Democratic,Columbia University; BA; Fordham University; JD,1992,1947-06-13
Joe Wilson,Republican,Washington and Lee University; BA; University of South Carolina; JD,2001,1947-07-31
Al Green,Democratic,Florida A&M University; Tuskeegee University; BA; Texas Southern University; JD,2005,1947-09-01
John Yarmuth,Democratic,Yale University; BA; Georgetown University,2007,1947-11-04
Bill Posey,Republican,Eastern Florida State College,2009,1947-12-18
Zoe Lofgren,Democratic,Stanford University; BA; Santa Clara University; JD,1995,1947-12-21
Bennie Thompson,Democratic,Tougaloo College; BA; Jackson State University; MS,1993,1948-01-28
Raúl Grijalva,Democratic,University of Arizona; BA,2003,1948-02-19
Brian Babin,Republican,"Lamar University; BS; University of Texas, Houston; DDS",2015,1948-03-23
Mike Kelly,Republican,University of Notre Dame; BA,2011,1948-05-10
Lois Frankel,Democratic,Boston University; BA; Georgetown University; JD,2013,1948-05-16
John B. Larson,Democratic,Central Connecticut State University; BA,1999,1948-07-22
Earl Blumenauer,Democratic,Lewis & Clark College; BA; JD,1996,1948-08-16
Al Lawson,Democratic,Florida A&M University; BA; Florida State University; MPA,2017,1948-09-23
Kweisi Mfume,Democratic,Baltimore City Community College; Morgan State University; BA; Johns Hopkins University; MA,2020,1948-10-24
Richard Neal,Democratic,Holyoke Community College; American International College; BA; University of Hartford; MA,1989,1949-02-14
Daniel Webster,Republican,Georgia Institute of Technology; BS,2011,1949-04-27
Tom Cole,Republican,Grinnell College; BA; Yale University; MA; University of Oklahoma; PhD,2003,1949-04-28
Steve Cohen,Democratic,Vanderbilt University; BA; University of Memphis; JD,2007,1949-05-24
Paul Tonko,Democratic,Clarkson University; BS,2009,1949-06-18
Roger Williams,Republican,Texas Christian University; BA,2013,1949-09-13
Sheila Jackson Lee,Democratic,Yale University; BA; University of Virginia; JD,1995,1950-01-12
Joyce Beatty,Democratic,Central State University; BA; Wright State University; MS; University of Cincinnati,2013,1950-03-12
Ann Kirkpatrick,Democratic,University of Arizona; BA; JD,2019,1950-03-24
Gerry Connolly,Democratic,"Glen Ellyn, Illinois; [88]; BA; Harvard University; MPA",2009,1950-03-30
Jackie Speier,Democratic,"University of California, Davis; BA; University of California, Hastings; JD",2008,1950-05-14
Dina Titus,Democratic,College of William & Mary; BA; University of Georgia; MA; Florida State University; PhD,2013,1950-05-23
Don Beyer,Democratic,Williams College; BA,2015,1950-06-20
Sylvia Garcia,Democratic,Texas Woman's University; BA; Texas Southern University; JD,2019,1950-09-06
Mike Simpson,Republican,Utah State University; BS; Washington University in St. Louis; DMD,1999,1950-09-08
Carol Miller,Republican,"Columbia College, South Carolina; BA",2019,1950-11-04
Michael C. Burgess,Republican,"University of North Texas; BS; MS; University of Texas, Houston; MD; University of Texas at Dallas; MS",2003,1950-12-23
Mike Thompson,Democratic,"Napa Valley College; California State University, Chico; BA; MPA",1999,1951-01-24
Albio Sires,Democratic,Saint Peter's University; BA; Middlebury College; MA,2006,1951-01-26
Tim Walberg,Republican,"Western Illinois University; Moody Bible Institute; Taylor University; BA; Wheaton College, Illinois; MA",2011,1951-04-12
Gwen Moore,Democratic,Marquette University; BA,2005,1951-04-18
Vern Buchanan,Republican,Cleary University; BA; University of Detroit Mercy; MBA,2007,1951-05-08
Jerry McNerney,Democratic,United States Military Academy; University of New Mexico; BS; MS; PhD,2007,1951-06-18
Burgess Owens,Republican,University of Miami; BS,2021,1951-08-02
Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19
Frank Pallone,Democratic,Middlebury College; BA; Tufts University; MA; Rutgers University–Camden; JD,1988,1951-10-30
Rick W. Allen,Republican,Auburn University; BS,2015,1951-11-07
Cliff Bentz,Republican,Eastern Oregon University; BA; Lewis and Clark College; JD,2021,1952-01-12
Mark DeSaulnier,Democratic,College of the Holy Cross; BA,2015,1952-03-31
Jim Costa,Democratic,"California State University, Fresno; BA",2005,1952-04-13
Blaine Luetkemeyer,Republican,"Lincoln University, Missouri; BA",2009,1952-05-07
Julia Brownley,Democratic,George Washington University; BA; American University; MBA,2013,1952-08-28
John Rutherford,Republican,Florida State College; Florida State University; BS,2017,1952-09-02
Bill Keating,Democratic,Boston College; BA; MBA; Suffolk University; JD,2011,1952-09-06
Ed Case,Democratic,"Williams College; BA; University of California, Hastings; JD",2019,1952-09-27
Steve Chabot,Republican,College of William & Mary; BA; Northern Kentucky University; JD,2011,1953-01-22
Neal Dunn,Republican,Washington and Lee University; BS; George Washington University; MD,2017,1953-02-16
