,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,ret1d,ret5d,ret1m,1d index,5d index,1m index,"Agriculture, Nutrition, and Forestry",Appropriations,Armed Services,"Banking, Housing, and Urban Affairs",Budget,"Commerce, Science, and Transportation",Energy and Natural Resources,Environment and Public Works,Finance,Foreign Relations,"Health, Education, Labor, and Pensions",Homeland Security and Governmental Affairs,Indian Affairs,Joint Committee on Printing,Joint Committee on Taxation,Joint Committee on the Library,Joint Economic Committee,Judiciary,Rules and Administration,Select Committee on Ethics,Select Committee on Intelligence,Small Business and Entrepreneurship,Special Committee on Aging,Veterans' Affairs,"Health, Education, Labor and Pensions"
0,2020-01-02,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.007847783329391622,0.023935596954828275,0.0931920715369854,-0.006278520849724689,0.00535536323105168,0.01394177812745867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2020-01-02,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.007847783329391622,0.023935596954828275,0.0931920715369854,-0.006278520849724689,0.00535536323105168,0.01394177812745867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,2020-01-03,Joint,RF,Regions Financial Corporation,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/a78c3a39-385a-40e2-8062-c429eb485393/,-0.011329787052549278,-0.02504472658493617,-0.011926103606446971,0.0033623114967828993,0.008841242946799444,0.030688350144890908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2020-01-06,Spouse,MA,Mastercard Incorporated,Stock,Sale (Full),"$50,001 - $100,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,-0.003386181635455676,0.04640965361643379,0.09318452937252196,-0.0025724656741543672,0.012793939712767655,0.029917407543794905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,2020-01-06,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.012106619196594393,0.06293764583903516,0.07249218651639522,-0.0025724656741543672,0.012793939712767655,0.029917407543794905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,2020-01-06,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.002091556198255961,-0.0060854893766150156,0.07743524300420201,-0.0025724656741543672,0.012793939712767655,0.029917407543794905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,2020-01-06,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$15,001 - $50,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,-0.015126661630534556,0.009201164217072844,0.09266601220575944,-0.0025724656741543672,0.012793939712767655,0.029917407543794905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,2020-01-06,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/,0.013148726667995048,0.061127470655537815,0.21625401519710552,-0.0025724656741543672,0.012793939712767655,0.029917407543794905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,2020-01-07,Joint,FEYE,"FireEye, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/6d145833-b89b-4a96-9422-8fc57045b10e/,-0.050110124177219606,-0.048182819788112015,-0.169603521452946,0.004752084640903709,0.014567433716067058,0.02655049287714717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,2020-01-10,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/5f8b9460-57a5-472f-ad9d-52d1f0b32237/,0.029995520440425194,0.032274809386856784,0.15487015305625595,0.007293541500983602,0.0201906575697961,0.03490331087020215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
